iter	Passed	Remaining
0	56	56794
1	57	28487
2	57	19043
3	57	14320
4	57	11492
5	57	9601
6	58	8255
7	58	7242
8	58	6452
9	58	5824
10	59	5310
11	59	4880
12	59	4515
13	59	4204
14	59	3934
15	60	3697
16	60	3488
17	60	3302
18	60	3136
19	60	2988
20	61	2852
21	61	2728
22	61	2616
23	61	2514
24	62	2421
25	62	2334
26	62	2254
27	62	2178
28	62	2108
29	63	2043
30	63	1983
31	63	1926
32	63	1872
33	64	1821
34	64	1773
35	64	1728
36	64	1685
37	65	1645
38	65	1608
39	65	1573
40	65	1540
41	66	1508
42	66	1478
43	66	1449
44	66	1421
45	67	1393
46	67	1367
47	67	1341
48	67	1317
49	68	1294
50	68	1271
51	68	1249
52	68	1229
53	68	1208
54	69	1189
55	69	1170
56	69	1152
57	69	1134
58	70	1117
59	70	1100
60	70	1084
61	70	1069
62	70	1054
63	71	1039
64	71	1025
65	71	1012
66	71	999
67	71	986
68	72	973
69	72	961
70	72	949
71	72	938
72	73	927
73	73	916
74	73	906
75	73	896
76	73	886
77	74	876
78	74	866
79	74	857
80	74	848
81	74	839
82	75	829
83	75	820
84	75	812
85	75	804
86	75	797
87	76	789
88	76	781
89	76	775
90	76	769
91	77	762
92	77	756
93	77	749
94	78	743
95	78	737
96	78	731
97	78	725
98	79	720
99	79	714
100	79	709
101	79	704
102	80	698
103	80	693
104	80	688
105	81	683
106	81	678
107	81	674
108	81	669
109	82	665
110	82	660
111	82	655
112	82	650
113	83	645
114	83	640
115	83	636
116	83	631
117	83	626
118	84	622
119	84	617
120	84	613
121	84	608
122	84	604
123	85	600
124	85	596
125	85	592
126	85	588
127	85	584
128	86	580
129	86	577
130	86	573
131	86	569
132	86	566
133	87	562
134	87	559
135	87	555
136	87	552
137	87	549
138	88	545
139	88	542
140	88	539
141	88	535
142	88	532
143	89	529
144	89	526
145	89	523
146	89	521
147	90	518
148	90	515
149	90	512
150	90	509
151	90	506
152	91	504
153	91	501
154	91	498
155	91	496
156	91	493
157	92	490
158	92	488
159	92	485
160	92	482
161	92	480
162	93	477
163	93	475
164	93	473
165	93	470
166	93	468
167	94	466
168	94	463
169	94	461
170	94	459
171	94	456
172	95	454
173	95	452
174	95	450
175	95	448
176	96	446
177	96	444
178	96	442
179	96	440
180	96	438
181	97	436
182	97	434
183	97	432
184	97	430
185	98	428
186	98	427
187	98	425
188	98	423
189	98	421
190	99	419
191	99	417
192	99	416
193	99	414
194	99	412
195	100	411
196	100	409
197	100	407
198	100	406
199	101	404
200	101	402
201	101	401
202	101	399
